# 5 ft = 68px 
# 0.073529 ft/px
# 13.6 px/ft


# conversion from feet to meters
0.3048


# start_x, start_y, end_x, end_y
0.00,27.13,4.12,27.13
4.12,27.13,4.12,31.32
4.12,31.32,0.96,31.32
0.96,31.32,0.96,59.12
0.96,59.12,35.88,59.12
35.88,59.12,35.88,31.32
35.88,31.32,32.57,31.32
32.57,31.32,32.57,27.13
32.57,27.13,39.34,27.13
39.34,27.13,39.34,31.32
39.34,31.32,36.32,31.32
36.32,31.32,36.32,59.12
9.49,31.32,9.49,27.13
9.49,27.13,15.74,27.13
15.74,27.13,15.74,28.46
15.74,28.46,21.25,28.46
21.25,28.46,21.25,27.13
21.25,27.13,27.50,27.13
27.50,27.13,27.50,31.32
27.50,31.32,9.49,31.32
36.32,59.12,53.75,59.12
53.75,59.12,53.75,54.56
53.75,54.56,54.19,54.56
54.19,54.56,54.19,59.12
54.19,59.12,71.25,59.12
71.25,59.12,71.25,31.32
71.25,31.32,67.94,31.32
67.94,31.32,67.94,27.13
67.94,27.13,74.56,27.13
74.56,27.13,74.56,31.32
74.56,31.32,71.62,31.32
71.62,31.32,71.62,59.12
44.85,31.32,44.85,27.13
44.85,27.13,51.18,27.13
51.18,27.13,51.18,28.46
51.18,28.46,56.54,28.46
56.54,28.46,56.54,27.13
56.54,27.13,62.79,27.13
62.79,27.13,62.79,31.32
62.79,31.32,54.19,31.32
54.19,31.32,54.19,51.62
54.19,51.62,53.75,51.62
53.75,51.62,53.75,31.32
53.75,31.32,44.85,31.32
71.62,59.12,88.90,59.12
88.90,59.12,88.90,31.32
88.90,31.32,80.15,31.32
80.15,31.32,80.15,27.13
80.15,27.13,86.47,27.13
86.47,27.13,86.47,28.46
86.47,28.46,91.84,28.46
91.84,28.46,91.84,27.13
91.84,27.13,98.09,27.13
98.09,27.13,98.09,31.32
98.09,31.32,89.26,31.32
89.26,31.32,89.26,59.12
89.26,59.12,103.53,59.12
103.53,59.12,103.53,27.13
103.53,27.13,110.07,27.13
110.07,27.13,110.07,31.32
110.07,31.32,103.97,31.32
103.97,31.32,103.97,59.12
103.97,59.12,118.24,59.12
118.24,59.12,118.24,31.32
118.24,31.32,115.29,31.32
115.29,31.32,115.29,27.13
115.29,27.13,121.84,27.13
121.84,27.13,121.84,31.32
121.84,31.32,118.75,31.32
118.75,31.32,118.75,59.12
118.75,59.12,130.07,59.12
130.07,59.12,130.07,55.66
130.07,55.66,130.51,55.66
130.51,55.66,130.51,59.12
130.51,59.12,141.76,59.12
141.76,59.12,141.76,31.32
141.76,31.32,138.82,31.32
138.82,31.32,138.82,27.13
138.82,27.13,145.29,27.13
145.29,27.13,145.29,31.32
145.29,31.32,142.28,31.32
142.28,31.32,142.28,59.12
127.06,31.32,127.06,27.13
127.06,27.13,133.60,27.13
133.60,27.13,133.60,31.32
133.60,31.32,130.51,31.32
130.51,31.32,130.51,52.72
130.51,52.72,130.07,52.72
130.07,52.72,130.07,31.32
130.07,31.32,127.06,31.32
142.28,59.12,177.13,59.12
177.13,59.12,177.13,54.85
177.13,54.85,177.57,54.85
177.57,54.85,177.57,59.12
177.57,59.12,188.90,59.12
188.90,59.12,188.90,31.32
188.90,31.32,185.81,31.32
185.81,31.32,185.81,27.13
185.81,27.13,188.90,27.13
150.51,31.32,150.51,27.13
150.51,27.13,157.06,27.13
157.06,27.13,157.06,28.53
157.06,28.53,162.28,28.53
162.28,28.53,162.28,27.13
162.28,27.13,168.82,27.13
168.82,27.13,168.82,31.32
168.82,31.32,162.28,31.32
162.28,31.32,162.28,28.97
162.28,28.97,157.06,28.97
157.06,28.97,157.06,31.32
157.06,31.32,150.51,31.32
174.04,31.32,174.04,27.13
174.04,27.13,180.59,27.13
180.59,27.13,180.59,31.32
180.59,31.32,177.57,31.32
177.57,31.32,177.57,51.91
177.57,51.91,177.13,51.91
177.13,51.91,177.13,31.32
177.13,31.32,174.04,31.32
188.90,27.13,188.90,20.44
188.90,20.44,181.91,20.44
181.91,20.44,181.91,19.93
181.91,19.93,188.90,19.93
188.90,19.93,188.90,8.60
188.90,8.60,177.50,8.60
